left_entity_id,left_name,right_business_id,right_name,confidence,
29486,midwest bartenders school 5759 e 86th st,30500,midwest bartenders school 5759 e 86th st,1,
19228,foreign fix auto center 822 reed st,69464,foreign fix auto center 822 reed st,1,
90351,foster mower service 507 s bellevue ave,70938,foster mower service 507 s bellevue ave,1,
86499,pretty nails 5036 w pike plaza rd,35968,pretty nails 5036 pike plaza rd,1,
51557,thomasenas  restaurant 2374 orthodox st,64960,thomasenas restaurant 2374 orthodox st,1,
94373,fork  stix 549 rosedale ave,38217,fork  stix 549 rosedale ave,1,
84820,sunshine nails 1591 s highland ave,25624,lp sunshine nails 1591 s highland ave,1,
3647,fort ben pub 5645 n post rd,30068,fort ben pub 5645 n post rd,1,
64024,pretty girls cook 1016 n marshall st,73536,pretty girls cook 1016 n marshall st,1,
88438,fortune express 6738 chippewa st,46710,fortune express 6738 chippewa st,1,
1684,preston art glass studio 2651 chouteau ave,44414,preston art glass studio 2651 chouteau ave,1,
52575,prestige nail salon 1633 spruce st,73587,prestige nail salon 1633 spruce st,1,
16299,prestige dermatology 5091 little rd,236,prestige dermatology 5091 little rd,1,
7800,thomas j stern dmd 833 s 2nd st,63200,thomas j stern dmd pc 833 s 2nd st,1,
36417,fox chase family eye care 7834 oxford ave,59386,fox chase family eye care 7834 oxford ave,1,
50337,fox chase lock  key 7936 oxford ave,62830,fox chase lock  key 7936 oxford ave,1,
7039,fox fitness 4002 s coolidge ave,18707,fox fitness 4002 s coolidge ave,1,
5765,foyt wine vault 1182 main st,32547,foyt wine vault 1182 main st,1,
40907,frangellis bakery 847 w ritner st,80031,frangellis bakery 847 w ritner st,1,
57566,frank and papi latin restaurant 7315 e broadway ave,17667,frank  papi latin restaurant 7315 e broadway ave,1,
54285,frank lloyd wright house in ebsworth park 120 n ballas rd,44876,the frank lloyd wright house in ebsworth park 120 n ballas rd,1,
74824,giorgios pizza 9 e market st,29207,giorgios pizza 9 e market st,1,
56457,girard auto body 3108 fox st,73878,girard auto body co 3108 fox st,1,
20221,gleaners cafe 917 s 9th st,78398,gleaners cafe 917 s 9th st,1,
79894,grindcore house 1515 s 4th st,62988,grindcore house 1515 s 4th st,1,
